cust_id,customer_gender,age_group,customer_country
1_cust,Male,35-44,Denmark
2_cust,Other,18-24,Denmark
3_cust,Other,25-34,Norway
4,Male,18-24,Sweden
5_cust,Other,35-44,Sweden
6_cust,Other,55-65,Sweden
7,Other,25-34,Sweden
8_cust,Other,45-54,Sweden
9_cust,Female,25-34,Sweden
10,Other,25-34,Finland
11,Other,45-54,Norway
12_cust,Male,25-34,Finland
13_cust,Male,55-65,Norway
14,Other,35-44,Norway
15,f,25-34,Norway
16_cust,Female,18-24,Norway
17,Other,45-54,Denmark
18,Female,35-44,Denmark
19_cust,Male,25-34,Norway
20_cust,Male,45-54,Finland
21,Other,55-65,Sweden
22,Female,25-34,Finland
23,Other,35-44,Sweden
24,Female,18-24,Denmark
25,Other,35-44,Sweden
26,Other,35-44,Sweden
27_cust,Male,25-34,Finland
28,Male,55-65,Sweden
29,Female,55-65,Sweden
30,m,45-54,Sweden
31_cust,Other,35-44,Sweden
32,Female,45-54,Finland
33,Male,18-24,Sweden
34,Other,45-54,Norway
35,Male,18-24,Sweden
36,Other,45-54,Denmark
37,Female,35-44,Sweden
38,Male,25-34,Finland
39_cust,Other,18-24,Sweden
40,Other,18-24,Denmark
41_cust,Other,35-44,Sweden
42,Female,25-34,Sweden
43,Other,45-54,Sweden
44_cust,Other,18-24,Sweden
45_cust,Female,55-65,Sweden
46,Male,18-24,Sweden
47_cust,Male,18-24,Sweden
48_cust,Other,55-65,Sweden
49,Other,18-24,Sweden
50,Other,55-65,Sweden
51,Female,18-24,Sweden
52,Other,25-34,Denmark
53_cust,Female,25-34,Denmark
54_cust,Other,55-65,Sweden
55,Male,45-54,Sweden
56,Female,45-54,Finland
57,Other,35-44,Sweden
58,Female,25-34,Norway
59,Other,35-44,Norge
60,Male,45-54,Finland
61,Male,25-34,Sweden
62,Other,35-44,Sweden
63,Other,18-24,Denmark
64_cust,Other,25-34,Sweden
65,Male,55-65,Denmark
66_cust,Male,35-44,Sweden
67,Male,55-65,Norway
68,Female,45-54,Norway
69_cust,Male,55-65,Sweden
70_cust,Female,45-54,Sweden
71_cust,m,55-65,Denmark
72_cust,Other,18-24,Finland
73_cust,Other,45-54,Norway
74,Other,18-24,Finland
75,Male,18-24,Norway
76,Male,25-34,Sweden
77_cust,Female,35-44,Sweden
78_cust,Male,45-54,Sweden
79,Male,18-24,Sweden
80_cust,Female,18-24,Denmark
81_cust,Female,45-54,Sweden
82,Female,18-24,Sweden
83,Male,35-44,Norway
84,Female,45-54,Finland
85_cust,Male,55-65,Sweden
86,m,18-24,Norway
87,Other,25-34,Sweden
88,Male,25-34,Finland
89,Other,55-65,Sweden
90,Male,55-65,Sweden
91,Other,18-24,Sweden
92,Female,35-44,Sweden
93,Male,55-65,Sweden
94_cust,Male,18-24,Denmark
95_cust,Male,45-54,Sweden
96,Other,55-65,Norge
97,Other,45-54,Sweden
98_cust,Male,18-24,Denmark
99_cust,Other,35-44,Sweden
100_cust,Male,25-34,Norway
101_cust,Female,45-54,Norway
102_cust,Male,18-24,Sweden
103,Male,55-65,Finland
104_cust,Other,18-24,Sweden
105,Male,18-24,Denmark
106,Other,55-65,Denmark
107,Female,55-65,Norway
108,Other,45-54,Finland
109_cust,Male,55-65,Finland
110,Female,18-24,Norge
111,Female,18-24,Denmark
112,Other,25-34,Sweden
113_cust,Other,45-54,Finland
114_cust,Male,55-65,Denmark
115,Female,45-54,Finland
116,Other,25-34,Sweden
117_cust,Female,25-34,Finland
118,Male,25-34,Denmark
119,Female,55-65,Sweden
120_cust,Other,18-24,Sweden
121,Male,35-44,Finland
122,Other,25-34,Sweden
123,Male,55-65,Sweden
124,Female,25-34,Denmark
125,Female,35-44,Finland
126_cust,Female,35-44,Norway
127,Other,25-34,Denmark
128_cust,Other,35-44,Denmark
129,Male,25-34,Sweden
130,Male,55-65,Norway
131_cust,Female,45-54,Sweden
132,Male,55-65,Sweden
133,Male,45-54,Norway
134,Female,25-34,Sweden
135_cust,Male,18-24,Norway
136,Female,18-24,Norway
137,Other,35-44,Norway
138_cust,Other,25-34,Sweden
139,Other,35-44,Finland
140,m,45-54,Sweden
141,Male,45-54,Sweden
142,Male,35-44,Finland
143,Female,55-65,Norway
144,Female,55-65,Norway
145_cust,Other,35-44,Sweden
146,Other,55-65,Denmark
147_cust,Female,45-54,Finland
148,Female,35-44,Norway
149,Male,55-65,Sweden
150,Female,35-44,Denmark
151_cust,Male,18-24,Sweden
152,Male,35-44,Sweden
153,Other,25-34,Norway
154,Female,35-44,Denmark
155_cust,Other,18-24,Norway
156_cust,Other,25-34,Sweden
157,Male,18-24,Sweden
158,Male,25-34,Norway
159_cust,Female,35-44,Sweden
160,Other,25-34,Finland
161,Male,18-24,Norway
162,Other,55-65,Denmark
163,Male,35-44,Denmark
164,Female,55-65,Finland
165_cust,Male,18-24,Finland
166,Male,18-24,Denmark
167,Female,18-24,Norway
168_cust,Other,25-34,Sweden
169,Other,45-54,Finland
170,Female,55-65,Finland
171,Female,25-34,Norway
172_cust,Male,18-24,Sweden
173,Male,18-24,Sweden
174_cust,Other,55-65,Denmark
175,Other,25-34,Sweden
176_cust,Female,45-54,Sweden
177,Male,55-65,Norway
178_cust,Other,25-34,Sweden
179_cust,Female,55-65,Sweden
180,Other,55-65,Sweden
181,Other,25-34,Finland
182_cust,Female,35-44,Finland
183,Female,25-34,Norway
184_cust,Other,55-65,Finland
185,Female,45-54,Sweden
