cust_id,transaction_type,transaction_date,subscription_type
1,initial,2020-09-01,BASIC
2,initial,2022-03-01,BASIC
3,initial,2020-10-01,MAX
4,initial,2022-05-01,PRO
5,initial,2022-08-01,BASIC
6,initial,2022-06-01,MAX
7,initial,2022-02-01,MAX
8,initial,2021-01-01,BASIC
9,initial,2020-08-01,BASIC
10,initial,2022-09-01,MAX
11,initial,2020-05-01,BASIC
12,initial,2020-09-01,BASIC
13,initial,2022-06-01,BASIC
14,initial,2020-03-01,BASIC
15,initial,2022-06-01,PRO
16,initial,2020-12-01,PRO
17,initial,2021-12-01,BASIC
18,initial,2021-11-01,BASIC
19,initial,2022-09-01,PRO
20,initial,2022-11-01,PRO
21,initial,2021-09-01,PRO
22,initial,2022-06-01,BASIC
23,initial,2020-12-01,MAX
24,initial,2021-03-01,MAX
25,initial,2020-12-01,MAX
26,initial,2021-02-01,BASIC
27,initial,2020-12-01,BASIC
28,initial,2022-07-01,PRO
29,initial,2020-06-01,PRO
30,initial,2022-07-01,PRO
31,initial,2021-05-01,pro
32,initial,2022-04-01,MAX
33,initial,2021-09-01,BASIC
34,initial,2022-02-01,BASIC
35,initial,2022-05-01,PRO
36,initial,2022-10-01,MAX
37,initial,2020-02-01,PRO
38,initial,2021-06-01,PRO
39,initial,2020-08-01,PRO
40,initial,2020-12-01,MAX
41,initial,2021-08-01,MAX
42,initial,2021-06-01,BASIC
43,initial,2020-04-01,MAX
44,initial,2021-11-01,PRO
45,initial,2022-02-01,PRO
46,initial,2021-10-01,PRO
47,initial,2020-10-01,BASIC
48,initial,2020-05-01,MAX
49,initial,2022-09-01,MAX
50,initial,2022-06-01,MAX
51,initial,2021-12-01,BASIC
52,initial,2021-12-01,MAX
53,initial,2020-06-01,PRO
54,initial,2022-07-01,PRO
55,initial,2022-01-01,BASIC
56,initial,2020-05-01,PRO
57,initial,2022-03-01,PRO
58,initial,2022-01-01,BASIC
59,initial,2022-01-01,MAX
60,initial,2020-08-01,BASIC
61,initial,2022-06-01,PRO
62,initial,2021-03-01,PRO
63,initial,2020-08-01,MAX
64,initial,2020-02-01,MAX
65,initial,2021-06-01,BASIC
66,initial,2020-11-01,PRO
67,initial,2022-10-01,PRO
68,initial,2020-09-01,MAX
69,initial,2022-02-01,PRO
70,initial,2022-07-01,PRO
71,initial,2021-02-01,PRO
72,initial,2020-09-01,MAX
